#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"name","lastlogondate","operatingsystem"
"CLTLNLTPHOGAN","5/9/2019 8:00:38 AM","Windows 10 Pro"
"CLTLNTEST","3/7/2017 12:29:11 PM","Windows 10 Pro"
"CLTLNCHINA","4/3/2017 10:33:16 AM","Windows 10 Pro"
"ndagostino-imac","6/22/2018 5:58:04 AM","Mac OS X"
"lionels-imac-2","3/1/2018 7:31:15 AM","Mac OS X"
"DESKTOP-B04NEKP","12/12/2017 8:44:46 AM","Windows 10 Pro"
"CLTLNCWDUKE1","5/12/2019 8:10:09 AM","Windows 10 Pro"
"CLTLNSPAREDESKTOP","11/12/2018 7:33:12 AM","Windows 7 Professional"
"CLTLNLTPETHEL","5/16/2019 8:53:29 AM","Windows 7 Professional"
"CLTLNCPRM2","5/11/2019 9:43:02 AM","Windows 7 Professional"
"CLTLNCSSWIATEK","5/13/2019 1:15:04 PM","Windows 10 Pro"
"cltlnceng-01","4/20/2019 12:29:20 PM","Mac OS X"
"stevens-imac2","5/16/2019 9:26:24 AM","Mac OS X"
"lncart02","5/2/2019 11:53:45 AM","Mac OS X"
"lncart03","5/17/2019 3:51:25 PM","Mac OS X"
"lncart04","5/10/2019 2:57:18 PM","Mac OS X"
"lncart05","5/13/2019 8:22:11 AM","Mac OS X"
"lncart06","5/9/2019 7:00:30 AM","Mac OS X"
"art-macbook01","11/8/2018 10:37:06 AM","Mac OS X"
"lncart07","5/17/2019 3:54:55 AM","Mac OS X"
"CLTLNCSPARE1","8/11/2018 6:16:50 AM","Windows 10 Pro"
"keiths-macbook","12/11/2018 3:51:27 PM","Mac OS X"
"CLTLNCTWHITE","10/11/2018 9:03:59 AM","Windows 10 Pro"
"CLTLNCSALES1","5/10/2019 8:06:10 AM","Windows 10 Pro"
"CLTLNCSALES2","5/10/2019 7:56:11 AM","Windows 10 Pro"
"CLTNCLNVICTUAL","4/19/2018 2:18:27 PM","Windows 7 Professional"
"CLTLNCJLAPSLEY","5/12/2018 10:57:46 AM","Windows 10 Pro"
"CLTLNCSALES4","4/1/2019 7:34:55 AM","Windows 10 Pro"
"CLTLNCSALES5","2/24/2019 2:27:21 PM","Windows 10 Pro"
"CLTLNCSPARE8","5/15/2019 10:32:01 AM","Windows 10 Pro"
"traceys-macbook","5/16/2019 1:54:04 AM","Mac OS X"
"lncs-imac-2","5/30/2018 2:07:28 PM","Mac OS X"
"CLTLNCDIECAST1","5/13/2019 8:00:11 AM","Windows 10 Pro for Workstations"
"CLTLNCDESKTOP18","1/10/2019 8:27:06 AM","Windows 10 Pro"
"CLTLNSPARE1900","2/14/2019 8:26:46 AM","Windows 10 Pro"
"CLTLNENGINEER1","7/10/2018 3:19:09 PM","Windows 7 Professional"
"CLTLNCENGINEER","5/16/2019 3:56:24 PM","Windows 7 Professional"
"caitlins-imac","5/11/2019 5:10:03 AM","Mac OS X"
"CLTLNCIT","5/16/2019 9:20:14 AM","Windows 10 Pro"
"CLTMUNTEREKER","5/9/2019 9:42:13 AM","Windows 10 Pro"
"CLTLNCMKIRCHGES","10/8/2018 7:40:58 AM","Windows 10 Pro"
"CLTCOMBO1","5/13/2019 6:47:25 AM","Windows 10 Pro"
"CLTCOMBO2","5/13/2019 6:47:20 AM","Windows 10 Pro"
"CLTLNCSBENNICK1","5/9/2019 6:59:37 AM","Windows 10 Pro"
"CLTLNCSHIPPING1","5/17/2019 3:22:38 AM","Windows 10 Pro"
"CLTLNCJDALTON1","5/9/2019 7:34:27 AM","Windows 10 Pro"
"CLTLNCSPARE2018","2/28/2019 9:02:29 AM","Windows 10 Pro"
"CLTLCSERVICE1","2/14/2019 9:03:14 AM","Windows 10 Pro"
"CLTLNCLAPTOP1","5/11/2019 7:10:12 AM","Windows 10 Pro"
"CLTLNCDCAST1","11/1/2018 12:54:00 PM","Windows 10 Pro for Workstations"
"matt-macbook","5/13/2019 7:59:58 AM","Mac OS X"
"CLTLNCIT-03","3/6/2019 9:47:27 AM","Windows 10 Pro"
"CLTLNKTAYLOR1","5/9/2019 8:07:22 AM","Windows 10 Pro"
"aris-macbook-pr","5/10/2019 7:17:58 AM","Mac OS X"
"CLTLNCWHOUSE1","5/13/2019 7:21:54 AM","Windows 10 Pro"
"CLTLNCDSKDIECAS","5/9/2019 8:25:26 AM","Windows 10 Pro for Workstations"
"CLTLENGINEER2","5/13/2019 8:08:23 AM","Windows 10 Pro"
"CLTLNCNDENTON","12/4/2018 11:49:08 AM","Windows 10 Pro"
"CLTLNNDENTON","5/12/2019 11:52:03 AM","Windows 10 Pro"
"ted-macbook-pr","5/10/2019 11:45:58 AM","Mac OS X"
"CLTLNDESKLSHOE1","5/17/2019 11:30:12 AM","Windows 10 Pro"
"CLTCALLCENTER1","5/15/2019 2:22:24 PM","Windows 10 Pro"
"CLTLNCCSGADAMS","5/13/2019 8:16:32 AM","Windows 10 Pro"
"CLTLAPRCCA1","2/11/2019 10:45:49 AM","Windows 10 Pro"
"CLTLAPRCCA2","5/13/2019 7:29:49 AM","Windows 10 Pro"
"CLTLAPRGEMERETH","5/14/2019 6:15:30 AM","Windows 10 Pro"
"CLTLNCJSTRIZZI1","1/31/2019 3:09:24 PM","Windows 10 Pro"
"CLTDSCCENTER1","2/6/2019 1:56:26 PM","Windows 10 Pro"
"CLTLNC144","5/17/2019 8:07:33 AM","Windows 10 Pro"
"CLTLNCCENTER145","5/16/2019 11:09:08 AM","Windows 10 Pro"
"CLTLNCCENTER146","5/13/2019 8:50:52 AM","Windows 10 Pro"
"CLTCCENTER0147","5/16/2019 11:19:13 AM","Windows 10 Pro"
"CLTCCENTER0148","5/13/2019 11:18:56 AM","Windows 10 Pro"
"CLTRCCA0037","5/14/2019 5:19:45 PM","Windows 10 Pro"
"CLTCCENTER0149","5/9/2019 9:12:12 AM","Windows 10 Pro"
"CLTLNC0160MP","5/9/2019 7:53:05 AM","Windows 10 Pro"
"CLTLNC0117","5/13/2019 11:36:00 AM","Windows 10 Pro"
"CLTLNCDO0157","5/16/2019 10:06:09 AM","Windows 10 Pro for Workstations"
"CLTLNC2300","5/9/2019 9:30:28 AM","Windows 10 Pro"
"CLTLNCPROD2339","5/7/2019 7:17:01 AM","Windows 10 Pro"
"CLTLNCSALES0115","4/5/2019 3:27:42 PM","Windows 10 Pro"
"CLTLNCMS0115","5/13/2019 7:49:58 AM","Windows 10 Pro"
"CLTLNC2297","5/14/2019 8:27:58 AM","Windows 10 Pro"
